X4 number of convenience stores,Y house price of unit area
10,37.9
9,42.2
5,47.3
5,54.8
5,43.1
3,32.1
7,40.3
6,46.7
1,18.8
3,22.1
1,41.4
9,58.1
5,39.3
4,23.8
4,34.3
2,50.5
6,70.1
1,37.4
8,42.3
7,47.7
3,29.3
7,51.6
1,24.6
7,47.9
4,38.8
2,27
5,56.2
5,33.6
4,47
5,57.1
0,22.1
7,25
1,34.2
6,49.3
7,55.1
0,27.3
2,22.9
1,25.3
6,47.7
5,46.2
0,15.9
0,18.2
5,34.7
6,34.1
4,53.9
8,38.3
9,42
3,61.5
0,13.4
1,13.2
4,44.2
1,20.7
3,27
5,38.9
5,51.7
0,13.7
8,41.9
7,53.5
1,22.6
5,42.4
2,21.3
6,63.2
3,27.7
4,55
0,25.3
8,44.3
6,50.7
5,56.8
6,36.2
5,42
9,59
3,40.8
8,36.3
0,20
10,54.4
1,29.5
3,36.8
3,25.6
2,29.8
1,26.5
4,40.3
6,36.8
7,48.1
3,17.7
7,43.7
9,50.8
1,27
0,18.3
0,48
0,25.3
1,45.4
0,43.2
4,21.8
0,16.1
5,41
5,51.8
9,59.5
3,34.6
5,51
9,62.2
4,38.2
1,32.9
6,54.4
6,45.7
6,30.5
6,71
8,47.1
1,26.6
2,34.1
3,28.4
5,51.6
7,39.4
3,23.1
6,7.6
8,53.3
2,46.4
1,12.2
0,13
3,30.6
5,59.6
5,31.3
5,48
4,32.5
0,45.5
7,57.4
6,48.6
4,62.9
5,55
6,60.7
7,41
8,37.5
3,30.7
5,37.5
8,39.5
6,42.2
0,20.8
5,46.8
6,47.4
0,43.5
5,42.5
5,51.4
3,28.9
5,37.5
5,40.1
1,28.4
5,45.5
0,52.2
8,43.2
0,45.1
8,39.7
7,48.5
9,44.7
1,28.9
6,40.9
0,20.7
0,15.6
0,18.3
4,35.6
5,39.4
4,37.4
8,57.8
3,39.6
0,11.6
5,55.5
0,55.2
1,30.6
6,73.6
8,43.4
5,37.4
1,23.5
0,14.4
5,58.8
9,58.1
4,35.1
7,45.2
3,36.5
0,19.2
9,42
4,36.7
1,42.6
0,15.5
8,55.9
3,23.6
0,18.8
0,21.8
3,21.5
3,25.7
0,22
8,44.3
0,20.5
8,42.3
2,37.8
7,42.7
5,49.3
0,29.3
5,34.6
2,36.6
8,48.2
7,39.1
8,31.6
0,25.5
5,45.9
3,31.5
5,46.1
1,26.6
3,21.4
10,44
3,34.2
1,26.2
8,40.9
5,52.2
1,43.5
2,31.1
9,58
3,20.9
8,48.1
1,39.7
6,40.8
5,43.8
8,40.2
9,78.3
0,38.5
10,48.5
0,42.3
6,46
6,49
0,12.8
8,40.2
0,46.6
0,19
3,33.4
0,14.7
1,17.4
9,32.4
4,23.9
7,39.3
10,61.9
0,39
0,40.6
0,29.7
2,28.8
7,41.4
3,33.4
8,48.2
3,21.7
5,40.8
6,40.6
0,23.1
0,22.3
1,15
7,30
0,13.8
9,52.7
2,25.9
5,51.8
1,17.4
1,26.5
1,43.9
6,63.3
0,28.8
4,30.7
3,24.4
5,53
3,31.7
7,40.6
4,38.1
3,23.7
5,41.1
5,40.1
0,23
1,117.5
8,26.5
5,40.5
1,29.3
7,41
7,49.7
5,34
3,27.7
6,44
3,31.1
6,45.4
9,44.8
1,25.6
2,23.5
7,34.4
3,55.3
9,56.3
5,32.9
6,51
5,44.5
0,37
7,54.4
5,24.5
7,42.5
6,38.1
3,21.8
4,34.1
4,28.5
0,16.7
10,46.1
4,36.9
0,35.7
3,23.2
0,38.4
3,29.4
5,55
1,50.2
0,24.7
5,53
0,19.1
2,24.7
4,42.2
9,78
5,42.8
6,41.6
2,27.3
7,42
2,37.5
10,49.8
5,26.9
0,18.6
4,37.7
1,33.1
6,42.5
2,31.3
8,38.1
7,62.1
3,36.7
3,23.6
0,19.2
0,12.8
0,15.6
2,39.6
5,38.4
5,22.8
6,36.5
2,35.6
5,30.9
9,36.3
5,50.4
0,42.9
2,37
9,53.5
8,46.6
0,41.2
0,37.9
2,30.8
1,11.2
6,53.7
5,47
5,42.3
3,28.6
3,25.7
3,31.3
1,30.1
5,60.7
1,45.3
9,44.9
6,45.1
0,24.7
10,47.1
8,63.3
4,40
10,48
7,33.1
4,29.5
1,24.8
2,20.9
1,43.1
3,22.8
5,42.1
5,51.7
7,41.5
1,52.2
5,49.5
0,23.8
2,30.5
8,56.8
8,37.4
6,69.7
5,53.3
9,47.3
0,29.3
4,40.3
0,12.9
10,46.6
0,55.3
3,25.6
4,27.3
8,67.7
9,38.6
1,31.3
6,35.3
4,40.3
1,24.7
4,42.5
1,31.9
4,32.2
2,23
1,37.3
5,35.5
3,27.7
1,28.5
9,39.7
5,41.2
6,37.2
7,40.5
0,22.3
3,28.1
0,15.4
9,50
7,40.6
5,52.5
9,63.9
